variable,type,n_missing,pct_missing
ident_hora_termino_bc,character,250,1
ident_resultado_hemocultura,character,250,1
ident_coloracao_de_gram,character,250,1
nota_agar_sangue,character,250,1
nota_agar_mac_conkey,character,250,1
nota_agar_chocolate,character,250,1
nota1_api,logical,250,1
nota1_resultado,character,250,1
nota1_reacao_de_aglutinacao,logical,250,1
nota1_outras_reaccoes,logical,250,1
nota2_cor,character,250,1
nota2_cor_outro,logical,250,1
nota2_formato,character,250,1
nota2_formato_outro,logical,250,1
nota2_arranjo,character,250,1
nota2_arranjo_outo,logical,250,1
nota2_caracter_crescimento,character,250,1
nota3_tamanho_colonias,character,250,1
nota3_formato_colonias,character,250,1
nota3_formato_colonias_other,logical,250,1
nota3_cor1,character,250,1
nota3_cor1_other,character,250,1
nota3_tipo_das_colonias,character,250,1
nota3_tipo_das_colonias_other,logical,250,1
nota3_outras_caracteristicas,character,250,1
nota3_outras_caracteristicas_other,logical,250,1
nota4_tamanho1_colonias,character,250,1
nota4_formato1_colonias,character,250,1
nota4_formato1_colonias_other,logical,250,1
nota4_cor2,character,250,1
nota4_cor2_other,character,250,1
nota4_tipo1_das_colonias,character,250,1
nota4_tipo1_das_colonias_other,logical,250,1
nota4_outras1_caracteristicas,logical,250,1
nota4_outras1_caracteristicas_other,logical,250,1
nota5_tamanho2_colonias,logical,250,1
nota5_formato2_colonias,logical,250,1
nota5_formato2_colonias_other,logical,250,1
nota5_cor3,logical,250,1
nota5_cor3_other,logical,250,1
nota5_tipo2_das_colonias,logical,250,1
nota5_tipo2_das_colonias_other,logical,250,1
nota5_outras2_caracteristicas,logical,250,1
nota5_outras2_caracteristicas_other,logical,250,1
nota5_outro_especifique,logical,250,1
nota5_tamanho3_colonias,logical,250,1
nota5_formato3_colonias,logical,250,1
nota5_formato3_colonias_other,logical,250,1
nota5_cor4,logical,250,1
nota5_cor4_other,logical,250,1
nota5_tipo3_das_colonias,logical,250,1
nota5_tipo3_das_colonias_other,logical,250,1
nota5_outras3_caracteristicas,logical,250,1
nota5_outras3_caracteristicas_other,logical,250,1
nota6_nota7,logical,250,1
nota6_catalase,character,250,1
nota6_coagulase,character,250,1
nota6_d_nase,character,250,1
nota6_optoquina,character,250,1
nota6_bacitracina,character,250,1
nota8_oxidase,character,250,1
nota8_kia,character,250,1
nota8_citrato,character,250,1
nota8_urea,character,250,1
nota8_sulfato,character,250,1
nota8_indol,character,250,1
nota8_motilidade,character,250,1
nota8_reacaes_de_aglutinacao,logical,250,1
nota8_testes_sorologicos,logical,250,1
nota8_especie_identificada,logical,250,1
nota8_api_1,logical,250,1
nota8_se_sim_api_1,logical,250,1
nota8_outras_reacoes,logical,250,1
nota10_tipo_de_isolado,character,250,1
nota10_verdadeiros_patogenos,character,250,1
nota10_outros_especifique,character,250,1
nota10_contaminantes,character,250,1
nota10_outros_espec1ifique,logical,250,1
nota11_amoxicillina_acido_clavul,character,250,1
nota11_ampicillina,character,250,1
nota11_ceftazidima,character,250,1
nota11_ceftriaxona_cefotaxima,character,250,1
nota11_cefuroxima,character,250,1
nota11_chloramphenicol,character,250,1
nota11_ciprofloxacina,character,250,1
nota11_clindamicina,character,250,1
nota11_cotrimoxazol,character,250,1
nota11_eritromicina,character,250,1
nota11_gentamicina,character,250,1
nota11_acido_nalidixico,character,250,1
nota11_oxacillina,character,250,1
nota11_penicillina,character,250,1
nota11_tetraciclina,character,250,1
genomica_amostra_genomica,character,250,1
nome_observa_es,character,250,1
nome_nome_da_pessoa,character,250,1
nome_fez_a_testagem,character,250,1
nome_nome_clinico,character,250,1
nome_contacto_clinico,character,250,1
nome_tec_notificacao,character,250,1
nome_data_notificacao,logical,250,1
nome_data_investigacao,logical,250,1
meta_instance_id_y,character,250,1
key,character,250,1
dados_demograficos_date2_y,Date,250,1
data_convertida_y,"c(""POSIXct"", ""POSIXt"")",250,1
dados_demograficos_idade,integer,215,0.86
whota_coordenadas_ids_altitude,numeric,194,0.776
whota_coordenadas_ids_accuracy,numeric,194,0.776
local_colheita_provincia_colheita_x,character,194,0.776
whota_dist_colheita,character,194,0.776
whota_lo_colheita,character,194,0.776
whota_ptdcol,character,194,0.776
whota_tipmast,character,194,0.776
whota_teccol,character,194,0.776
whota_tembie,character,194,0.776
whota_temag,numeric,194,0.776
whota_humreab,numeric,194,0.776
whota_condelec,character,194,0.776
whota_descfras,character,194,0.776
whota_consdtr,character,194,0.776
whota_sars_cov_2,character,194,0.776
whota_influenza,character,194,0.776
whota_poliovirus,character,194,0.776
whota_colera,character,194,0.776
whota_febre_tifoide,character,194,0.776
whota_outros,character,194,0.776
whota_tec_res_colheita,character,194,0.776
whota_observacao,character,194,0.776
nota111_nr_dias_febre,integer,161,0.644
dados_demograficos_coordenadas_ids_altitude,numeric,157,0.628
dados_demograficos_coordenadas_ids_accuracy,numeric,157,0.628
dados_demograficos_marracuene,character,157,0.628
dados_demograficos_data_inclusao,character,149,0.596
dados_demograficos_local_de_inclusao,character,149,0.596
dados_demograficos_escolaridade_other,character,149,0.596
dados_demograficos_peso,character,149,0.596
dados_demograficos_altura,character,149,0.596
dados_demograficos_testado_malaria,character,149,0.596
dados_demograficos_resultado_malaria,character,149,0.596
nota111_fre_respiratoria,character,149,0.596
nota111_frequencia_cardiaca,character,149,0.596
nota111_tensao_arterial,character,149,0.596
nota124_hospitalizado,character,149,0.596
nota124_data30,character,149,0.596
nota124_motivo_hospitalizado,character,149,0.596
nota124_motivo_hospitalizado_other,character,149,0.596
salmonella_pac_resp_si_mesmo,character,149,0.596
salmonella_q_rel_paciente,character,149,0.596
salmonella_q_rel_paciente_other,character,149,0.596
note5_tom_med_us,character,149,0.596
note5_ssim_ind_med,character,149,0.596
note5_antibioticos_toma_tomou,character,149,0.596
note5_antibioticos_toma_tomou_other,character,149,0.596
note5_antibioticos_toma_t_data,character,149,0.596
note5_opac_rec_al_medic,character,149,0.596
note5_ssim_ind_medic,character,149,0.596
note5_ssim_ind_medic_other,character,149,0.596
note5_antibioticos_toma_tomou1,character,149,0.596
note6_foi_encam_us,character,149,0.596
note6_diag_feito,character,149,0.596
note6_diag_feito_other,character,149,0.596
note6_atfad_pacient,character,149,0.596
note6_repeat_medic_pacient,character,149,0.596
note6_apos_cons_hoje,character,149,0.596
note6_ha_infor_repot,character,149,0.596
note6_colheu_amostra_febre,character,149,0.596
colera_classificacao_desidratacao,character,149,0.596
dados_demograficos_coordenadas_ids_latitude,numeric,101,0.404
dados_demograficos_coordenadas_ids_longitude,numeric,101,0.404
dados_demograficos_idade2,integer,91,0.364
dados_demograficos_escolaridade,character,81,0.324
dados_demograficos_profissao,character,77,0.308
nota111_temperat,character,68,0.272
nota111_tempo_duracao,integer,57,0.228
start,character,56,0.224
end,character,56,0.224
deviceid,character,56,0.224
unidade_sanitaria,character,56,0.224
codigo_do_tecnico,character,56,0.224
dados_demograficos_date1,character,56,0.224
dados_demograficos_sexo,character,56,0.224
dados_demograficos_conhece_nascimento_data,character,56,0.224
dados_demograficos_data_nascimento,character,56,0.224
dados_demograficos_tipo_idade,character,56,0.224
dados_demograficos_marital,character,56,0.224
dados_demograficos_profissao_other,character,56,0.224
dados_demograficos_relegiao,character,56,0.224
dados_demograficos_relegiao_other,character,56,0.224
dados_demograficos_provincia_de_residencia,character,56,0.224
dados_demograficos_distrito_residencia,character,56,0.224
dados_demograficos_bairro,character,56,0.224
dados_demograficos_gravidez,character,56,0.224
dados_demograficos_algu_vez_teste_de_hiv,character,56,0.224
dados_demograficos_data_de_testagem,character,56,0.224
dados_demograficos_hiv,character,56,0.224
dados_demograficos_esta_em_tarv,character,56,0.224
dados_demograficos_fmsp,character,56,0.224
nota111_sintomas,character,56,0.224
nota111_nest_mom_febre,character,56,0.224
nota111_outro_sintoma,character,56,0.224
nota111_data_inic_sint,character,56,0.224
influenza_bcg,character,56,0.224
influenza_data23,character,56,0.224
influenza_polio,character,56,0.224
influenza_data24,character,56,0.224
nota123_dose_1,character,56,0.224
nota123_data25,character,56,0.224
nota123_dose_2,character,56,0.224
nota123_data26,character,56,0.224
nota123_dose_277,character,56,0.224
nota123_data268,character,56,0.224
nota123_sarampo,character,56,0.224
nota123_data27,character,56,0.224
nota123_gripe,character,56,0.224
nota123_data28,character,56,0.224
nota123_sars_co_v_2,character,56,0.224
nota123_dose_sars,character,56,0.224
nota123_data29,character,56,0.224
nota123_marca_da_vacina,character,56,0.224
nota123_febre_amarela,character,56,0.224
nota126_doenca_cronica,character,56,0.224
nota126_doen_repirat,character,56,0.224
nota126_doen_repirat_other,character,56,0.224
nota126_doe_hepatica_cronica,character,56,0.224
nota126_doe_renal_cronica,character,56,0.224
nota126_doe_neuromuscular,character,56,0.224
nota126_diabetes,character,56,0.224
nota126_doe_cardiovascular,character,56,0.224
nota126_foi_diagnost_tb_ulti_ano,character,56,0.224
nota126_data40,character,56,0.224
nota126_tratamen_ultimas_48h,character,56,0.224
nota126_tratamen_ult_48h_other,character,56,0.224
nota126_colheu_amos,character,56,0.224
colera_episodios_diarreia,character,56,0.224
colera_outro_patogeno,character,56,0.224
colera_fezes_aquosas,character,56,0.224
colera_fezes_peixe,character,56,0.224
colera_fezes_arroz,character,56,0.224
colera_fezes_sangue,character,56,0.224
colera_fezes_muco,character,56,0.224
colera_vomitos,character,56,0.224
colera_episodios_vomitos,character,56,0.224
colera_dor_abdominal,character,56,0.224
colera_caimbras,character,56,0.224
colera_desidratacao,character,56,0.224
colera_teve_contacto,character,56,0.224
colera_aglomerado,character,56,0.224
colera_aglomerado_other,character,56,0.224
colera_fonte_agua,character,56,0.224
colera_fonte_agua_other,character,56,0.224
colera_purifica_agua,character,56,0.224
colera_purificador_agua_usado,character,56,0.224
colera_local_necessidades_maiores,character,56,0.224
colera_local_necessidades_maiores_other,character,56,0.224
colera_vacinacao,character,56,0.224
colera_doses_vacina,character,56,0.224
colera_colheu_amostr_colera,character,56,0.224
dados_demograficos_date2_x,"c(""POSIXct"", ""POSIXt"")",0,0
dados_demograficos_codigo_paciente,character,0,0
meta_instance_id_x,character,0,0
data_convertida_x,"c(""POSIXct"", ""POSIXt"")",0,0
