orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,MZ CE - Diagnóstico - Infecção Resp. Aguda,MZ CE - Diagnóstico - DNT Asma Bronquial,INTERNAMENTO - Pneumonia ALTAS,INTERNAMENTOS HOSPITAIS - Pneumonia ALTAS
MOÇAMBIQUE,MAPUTO CIDADE,KAMUBUKWANA,CS Zimpeto,tgXuH2BLLib,CS Zimpeto,1110515,,202603,Março 2026,202603,,,,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202501,Janeiro 2025,202501,,10,10,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202502,Fevereiro 2025,202502,,85,75,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202503,Março 2025,202503,,5,25,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202504,Abril 2025,202504,,90,70,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202505,Maio 2025,202505,,195,380,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202506,Junho 2025,202506,,230,75,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202507,Julho 2025,202507,,175,143,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202508,Agosto 2025,202508,,115,235,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202509,Setembro 2025,202509,,175,75,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202510,Outubro 2025,202510,,120,95,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202511,Novembro 2025,202511,,733,55,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202512,Dezembro 2025,202512,,190,270,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202601,Janeiro 2026,202601,,175,150,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202602,Fevereiro 2026,202602,,300,170,,
MOÇAMBIQUE,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,bXCwZkdj6sZ,CS Mavalane,1110422,,202603,Março 2026,202603,,,,,
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202501,Janeiro 2025,202501,,51,9,,8
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202502,Fevereiro 2025,202502,,,,,20
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202503,Março 2025,202503,,11,10,,18
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202504,Abril 2025,202504,,124,14,,23
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202505,Maio 2025,202505,,180,14,,15
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202506,Junho 2025,202506,,63,3,,25
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202507,Julho 2025,202507,,145,19,,25
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202508,Agosto 2025,202508,,161,18,,35
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202509,Setembro 2025,202509,,78,6,,49
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202510,Outubro 2025,202510,,13,14,,37
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202511,Novembro 2025,202511,,159,28,,25
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202512,Dezembro 2025,202512,,142,14,,23
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202601,Janeiro 2026,202601,,168,22,,32
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202602,Fevereiro 2026,202602,,,,,
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HC de Quelimane,c6STuTMrowf,HC de Quelimane,1040101,,202603,Março 2026,202603,,,,,
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202501,Janeiro 2025,202501,,,109,,9
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202502,Fevereiro 2025,202502,,,64,,8
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202503,Março 2025,202503,,,60,,1
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202504,Abril 2025,202504,,,45,,2
